Team,avg_age,market_value,avg_market_value,Rank,market_value_Quartile
Italy,22,629.1,28.6,1,Q4
England,24,1030.0,42.75,2,Q4
Spain,23,635.4,27.63,4,Q4
France,23,877.32,38.14,9,Q4
Netherlands,27,617.85,22.88,11,Q4
Germany,23,808.65,35.16,12,Q4
Croatia,24,292.5,12.19,13,Q3
Turkey,24,264.24,11.01,24,Q3
Belgium,20,448.2,22.41,5,Q3
Portugal,23,593.55,25.81,10,Q3
Poland,25,235.35,9.41,21,Q3
Denmark,23,266.18,11.57,3,Q3
Ukraine,25,182.52,7.3,8,Q2
Switzerland,22,147.69,6.71,7,Q2
Czech Republic,23,125.19,5.44,6,Q2
Scotland,26,217.8,8.38,22,Q2
Austria,23,192.51,8.37,14,Q2
Russia,34,174.65,5.14,19,Q2
Sweden,24,150.48,6.27,15,Q2
North Macedonia,25,42.64,1.71,23,Q1
Finland,24,33.17,1.38,18,Q1
Hungary,25,96.17,3.85,17,Q1
Wales,26,112.59,4.33,16,Q1
Slovakia,27,111.87,4.14,20,Q1
