Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Top Team Scorer,Goalkeeper
1,France,7.0,6.0,1.0,0.0,14.0,6.0,8.0,19.0,8.1,4.8,3.3,0.47,"Kylian Mbappé, Antoine Griezmann - 4",Hugo Lloris
2,Croatia,7.0,4.0,2.0,1.0,14.0,9.0,5.0,14.0,10.2,7.0,3.3,0.41,"Mario Mandžukić, Ivan Perišić - 3",Danijel Subašić
3,Belgium,7.0,6.0,0.0,1.0,16.0,6.0,10.0,18.0,11.8,8.8,3.1,0.44,Romelu Lukaku - 4,Thibaut Courtois
4,England,7.0,3.0,1.0,3.0,12.0,8.0,4.0,10.0,10.0,6.8,3.2,0.42,Harry Kane - 6,Jordan Pickford
QF,Uruguay,5.0,4.0,0.0,1.0,7.0,3.0,4.0,12.0,5.9,2.1,3.7,0.75,Edinson Cavani - 3,Fernando Muslera
QF,Brazil,5.0,3.0,1.0,1.0,8.0,3.0,5.0,10.0,11.8,2.5,9.3,1.87,"Philippe Coutinho, Neymar - 2",Alisson
QF,Sweden,5.0,3.0,0.0,2.0,6.0,4.0,2.0,9.0,6.8,4.1,2.6,0.53,Andreas Granqvist - 2,Robin Olsen
QF,Russia,5.0,2.0,2.0,1.0,11.0,7.0,4.0,8.0,4.4,6.5,-2.1,-0.37,Denis Cheryshev - 4,Igor Akinfeev
R16,Colombia,4.0,2.0,1.0,1.0,6.0,3.0,3.0,7.0,2.7,4.8,-2.1,-0.48,Yerry Mina - 3,David Ospina
R16,Denmark,4.0,1.0,3.0,0.0,3.0,2.0,1.0,6.0,2.8,5.6,-2.8,-0.65,"Christian Eriksen, Mathias Jørgensen... - 1",Kasper Schmeichel
R16,Spain,4.0,1.0,3.0,0.0,7.0,6.0,1.0,6.0,7.6,3.9,3.7,0.85,Diego Costa - 3,David de Gea
R16,Mexico,4.0,2.0,0.0,2.0,3.0,6.0,-3.0,6.0,4.7,8.4,-3.6,-0.91,"Hirving Lozano, Javier Hernández... - 1",Guillermo Ochoa
R16,Portugal,4.0,1.0,2.0,1.0,6.0,6.0,0.0,5.0,4.5,4.6,-0.1,-0.02,Cristiano Ronaldo - 4,Rui Patrício
R16,Switzerland,4.0,1.0,2.0,1.0,5.0,5.0,0.0,5.0,3.6,5.0,-1.3,-0.34,"Xherdan Shaqiri, Granit Xhaka... - 1",Yann Sommer
R16,Japan,4.0,1.0,1.0,2.0,6.0,7.0,-1.0,4.0,4.5,6.0,-1.5,-0.39,Takashi Inui - 2,Eiji Kawashima
R16,Argentina,4.0,1.0,1.0,2.0,6.0,9.0,-3.0,4.0,4.9,5.4,-0.5,-0.12,Sergio Agüero - 2,"Willy Caballero, Franco Armani"
GR,Iran,3.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,2.2,4.5,-2.2,-0.74,Karim Ansarifard - 1,Alireza Beiranvand
GR,Senegal,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,3.3,2.1,1.2,0.4,"Moussa Wagué, M'Baye Niang... - 1",Khadim N'Diaye
GR,Korea Republic,3.0,1.0,0.0,2.0,3.0,3.0,0.0,3.0,2.9,6.7,-3.7,-1.24,Son Heung-min - 2,Cho Hyun-woo
GR,Peru,3.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,2.6,4.0,-1.4,-0.48,"Paolo Guerrero, André Carrillo - 1",Pedro Gallese
GR,Nigeria,3.0,1.0,0.0,2.0,3.0,4.0,-1.0,3.0,3.1,3.7,-0.6,-0.21,Ahmed Musa - 2,Francis Uzoho
GR,Serbia,3.0,1.0,0.0,2.0,2.0,4.0,-2.0,3.0,3.5,3.4,0.0,0.01,"Aleksandar Kolarov, Aleksandar Mitrović - 1",Vladimir Stojković
GR,Germany,3.0,1.0,0.0,2.0,2.0,4.0,-2.0,3.0,5.9,3.3,2.7,0.89,"Toni Kroos, Marco Reus - 1",Manuel Neuer
GR,Poland,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,2.6,3.4,-0.8,-0.26,"Jan Bednarek, Grzegorz Krychowiak - 1",Wojciech Szczęsny
GR,Tunisia,3.0,1.0,0.0,2.0,5.0,8.0,-3.0,3.0,4.8,8.3,-3.5,-1.17,Wahbi Khazri - 2,Farouk Ben Mustapha
GR,Saudi Arabia,3.0,1.0,0.0,2.0,2.0,7.0,-5.0,3.0,2.9,3.5,-0.6,-0.18,"Salem Al-Dawsari, Salman Al-Faraj - 1","Mohammed Al-Owais, Yasser Al Mosailem..."
GR,Morocco,3.0,0.0,1.0,2.0,2.0,4.0,-2.0,1.0,3.1,3.7,-0.7,-0.22,"Youssef En-Nesyri, Khalid Boutaïb - 1",Munir
GR,Costa Rica,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,1.0,2.1,6.0,-3.9,-1.31,Kendall Waston - 1,Keylor Navas
GR,Australia,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,1.0,3.5,2.5,1.0,0.34,Mile Jedinak - 2,Mathew Ryan
GR,Iceland,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,1.0,4.1,3.7,0.4,0.12,"Alfreð Finnbogason, Gylfi Sigurðsson - 1",Hannes Þór Halldórsson
GR,Egypt,3.0,0.0,0.0,3.0,2.0,6.0,-4.0,0.0,2.6,4.5,-1.9,-0.63,Mohamed Salah - 2,Mohamed El-Shenawy
GR,Panama,3.0,0.0,0.0,3.0,2.0,11.0,-9.0,0.0,2.3,6.3,-4.1,-1.35,Felipe Baloy - 1,Jaime Penedo
